,year,co2
0,"May, 12, 2021",418.51
1,"May, 12, 2021",418.51
2,"May, 12, 2021",418.51
3,"May, 12, 2021",418.51
4,"May, 12, 2021",418.51
5,"May, 12, 2021",418.51
6,"May, 12, 2021",418.51
7,"May, 12, 2021",418.51
8,"May, 12, 2021",418.51
9,"May, 12, 2021",418.51
10,"September, 11, 2020",410.99
11,"November, 13, 2019",410.46
12,"January, 13, 2019",413.45
13,"March, 17, 2018",409.02
14,"May, 18, 2017",410.03
15,"July, 19, 2016",400.8
16,"September, 20, 2015",397.57
17,"November, 23, 2014",397.24
18,"January, 19, 2014",398.13
19,"March, 24, 2013",397.21
20,"May, 27, 2012",396.28
21,"July, 31, 2011",391.77
22,"September, 26, 2010",386.87
23,"November, 29, 2009",386.73
24,"February, 1, 2009",387.26
25,"April, 6, 2008",388
26,"June, 3, 2007",386.6
27,"August, 6, 2006",381.22
28,"October, 9, 2005",376.44
29,"December, 12, 2004",377.37
30,"February, 8, 2004",377.47
31,"April, 13, 2003",377.3
32,"June, 16, 2002",375.12
33,"August, 12, 2001",369.7
34,"October, 15, 2000",366.75
35,"December, 19, 1999",368.05
36,"February, 21, 1999",369.05
37,"April, 19, 1998",368.05
38,"June, 22, 1997",365.53
39,"August, 25, 1996",360.85
40,"October, 29, 1995",358.23
41,"December, 25, 1994",359.15
42,"February, 27, 1994",359.64
43,"May, 2, 1993",359.62
44,"July, 5, 1992",358.47
45,"September, 1, 1991",353.22
46,"November, 4, 1990",352.12
47,"January, 7, 1990",353.47
48,"March, 5, 1989",353.17
49,"May, 8, 1988",353.76
50,"July, 12, 1987",349.84
51,"September, 14, 1986",345.32
52,"November, 10, 1985",343.77
53,"January, 13, 1985",345.01
54,"March, 18, 1984",345.45
55,"May, 22, 1983",345.85
56,"July, 18, 1982",342.02
57,"September, 20, 1981",336.75
58,"November, 23, 1980",337.31
59,"January, 27, 1980",338.49
60,"March, 25, 1979",339.02
61,"May, 28, 1978",337.9
62,"July, 31, 1977",333.76
63,"September, 26, 1976",328.42
64,"November, 30, 1975",330.14
65,"February, 2, 1975",331.18
66,"April, 7, 1974",332.47
67,"June, 3, 1973",332.27
68,"August, 6, 1972",326.92
69,"October, 10, 1971",322.95
70,"December, 13, 1970",325
71,"February, 8, 1970",325.7
72,"April, 13, 1969",327.13
73,"June, 16, 1968",325.56
74,"August, 13, 1967",321.4
75,"October, 16, 1966",318.21
76,"December, 19, 1965",319.39
77,"February, 21, 1965",320.7
78,"May, 31, 1964",322.07
79,"June, 23, 1963",320.88
80,"August, 19, 1962",317.48
81,"October, 29, 1961",315.72
82,"December, 25, 1960",316.4
83,"February, 28, 1960",317
84,"May, 3, 1959",318.27
85,"July, 6, 1958",315.85
86,"March, 30, 1958",316.19
87,"March, 30, 1958",316.19
88,Year 1955,313
89,Year 1955,313
90,Year 1954,312.4
91,Year 1954,312.4
92,Year 1953,311.9
93,Year 1952,311.5
94,Year 1951,311.1
95,Year 1950,310.7
96,Year 1949,310.5
97,Year 1949,310.5
98,Year 1948,310.3
99,Year 1947,310.2
100,Year 1946,310.1
101,Year 1945,310.1
102,Year 1944,310.1
103,Year 1944,310.1
104,Year 1943,310.2
105,Year 1942,310.3
106,Year 1941,310.4
107,Year 1940,310.4
108,Year 1939,310.3
109,Year 1939,310.3
110,Year 1938,310.2
111,Year 1937,310
112,Year 1936,309.8
113,Year 1935,309.4
114,Year 1934,309
115,Year 1934,309
116,Year 1933,308.6
117,Year 1932,308.2
118,Year 1931,307.7
119,Year 1930,307.2
120,Year 1929,306.8
121,Year 1929,306.8
122,Year 1928,306.3
123,Year 1927,305.8
124,Year 1926,305.4
125,Year 1925,305
126,Year 1924,304.5
127,Year 1924,304.5
128,Year 1923,304.1
129,Year 1922,303.8
130,Year 1921,303.4
131,Year 1920,303
132,Year 1920,303
133,Year 1919,302.7
134,Year 1918,302.4
135,Year 1917,302.1
136,Year 1916,301.7
137,Year 1915,301.4
138,Year 1915,301.4
139,Year 1914,301.1
140,Year 1913,300.8
141,Year 1912,300.4
142,Year 1911,300.1
143,Year 1910,299.7
144,Year 1910,299.7
145,Year 1909,299.3
146,Year 1908,298.9
147,Year 1907,298.5
148,Year 1906,298.1
149,Year 1905,297.6
150,Year 1905,297.6
151,Year 1904,297.2
152,Year 1903,296.8
153,Year 1902,296.5
154,Year 1901,296.1
155,Year 1900,295.8
156,Year 1900,295.8
157,Year 1899,295.5
158,Year 1898,295.2
159,Year 1897,295
160,Year 1896,294.9
161,Year 1895,294.8
162,Year 1895,294.8
163,Year 1894,294.7
164,Year 1893,294.6
165,Year 1892,294.5
166,Year 1891,294.3
167,Year 1890,294.2
168,Year 1890,294.2
169,Year 1889,294
170,Year 1888,293.8
171,Year 1887,293.6
172,Year 1886,293.3
173,Year 1886,293.3
174,Year 1885,293
175,Year 1884,292.6
176,Year 1883,292.1
177,Year 1882,291.7
178,Year 1881,291.2
179,Year 1881,291.2
180,Year 1880,290.7
181,Year 1879,290.2
182,Year 1878,289.8
183,Year 1877,289.4
184,Year 1876,289
185,Year 1876,289
186,Year 1875,288.7
187,Year 1874,288.4
188,Year 1873,288.1
189,Year 1872,287.9
190,Year 1871,287.7
191,Year 1871,287.7
192,Year 1870,287.5
193,Year 1869,287.4
194,Year 1868,287.2
195,Year 1867,287.1
196,Year 1866,287
197,Year 1866,287
198,Year 1865,286.9
199,Year 1864,286.8
200,Year 1863,286.6
201,Year 1862,286.5
202,Year 1861,286.4
203,Year 1861,286.4
204,Year 1860,286.2
205,Year 1859,286.1
206,Year 1858,285.9
207,Year 1857,285.7
208,Year 1856,285.6
209,Year 1856,285.6
210,Year 1855,285.4
211,Year 1854,285.3
212,Year 1853,285.1
213,Year 1852,285
214,Year 1852,285
215,Year 1851,284.9
216,Year 1850,284.7
217,Year 1849,284.6
218,Year 1848,284.4
219,Year 1847,284.2
220,Year 1847,284.2
221,Year 1846,284.1
222,Year 1845,283.9
223,Year 1844,283.7
224,Year 1843,283.6
225,Year 1842,283.5
226,Year 1842,283.5
227,Year 1841,283.4
228,Year 1840,283.4
229,Year 1839,283.4
230,Year 1838,283.4
231,Year 1837,283.5
232,Year 1837,283.5
233,Year 1836,283.7
234,Year 1835,283.8
235,Year 1834,284
236,Year 1833,284.1
237,Year 1832,284.3
238,Year 1832,284.3
239,Year 1830,284.4
240,Year 1830,284.4
241,Year 1830,284.4
242,Year 1830,284.4
243,Year 1825,284.3
244,Year 1825,284.3
245,Year 1825,284.3
246,Year 1825,284.3
247,Year 1825,284.3
248,Year 1825,284.3
249,Year 1825,284.3
250,Year 1820,284.2
251,Year 1820,284.2
252,Year 1820,284.2
253,Year 1820,284.2
254,Year 1820,284.2
255,Year 1820,284.2
256,Year 1815,284
257,Year 1815,284
258,Year 1815,284
259,Year 1815,284
260,Year 1815,284
261,Year 1815,284
262,Year 1810,283.8
263,Year 1810,283.8
264,Year 1810,283.8
265,Year 1810,283.8
266,Year 1810,283.8
267,Year 1810,283.8
268,Year 1805,283.4
269,Year 1805,283.4
270,Year 1805,283.4
271,Year 1805,283.4
272,Year 1805,283.4
273,Year 1805,283.4
274,Year 1800,282.9
275,Year 1800,282.9
276,Year 1800,282.9
277,Year 1800,282.9
278,Year 1800,282.9
279,Year 1800,282.9
280,Year 1795,282.3
281,Year 1795,282.3
282,Year 1795,282.3
283,Year 1795,282.3
284,Year 1795,282.3
285,Year 1795,282.3
286,Year 1790,281.6
287,Year 1790,281.6
288,Year 1790,281.6
289,Year 1790,281.6
290,Year 1790,281.6
291,Year 1790,281.6
292,Year 1785,280.8
293,Year 1785,280.8
294,Year 1785,280.8
295,Year 1785,280.8
296,Year 1785,280.8
297,Year 1785,280.8
298,Year 1780,280.1
299,Year 1780,280.1
300,Year 1780,280.1
301,Year 1780,280.1
302,Year 1780,280.1
303,Year 1780,280.1
304,Year 1775,279.3
305,Year 1775,279.3
306,Year 1775,279.3
307,Year 1775,279.3
308,Year 1775,279.3
309,Year 1775,279.3
310,Year 1770,278.6
311,Year 1770,278.6
312,Year 1770,278.6
313,Year 1770,278.6
314,Year 1770,278.6
315,Year 1770,278.6
316,Year 1765,278
317,Year 1765,278
318,Year 1765,278
319,Year 1765,278
320,Year 1765,278
321,Year 1765,278
322,Year 1760,277.6
323,Year 1760,277.6
324,Year 1760,277.6
325,Year 1760,277.6
326,Year 1760,277.6
327,Year 1760,277.6
328,Year 1755,277.2
329,Year 1755,277.2
330,Year 1755,277.2
331,Year 1755,277.2
332,Year 1755,277.2
333,Year 1755,277.2
334,Year 1750,277
335,Year 1750,277
336,Year 1750,277
337,Year 1750,277
338,Year 1750,277
339,Year 1750,277
340,Year 1745,276.9
341,Year 1745,276.9
342,Year 1745,276.9
343,Year 1745,276.9
344,Year 1745,276.9
345,Year 1745,276.9
346,Year 1740,276.9
347,Year 1740,276.9
348,Year 1740,276.9
349,Year 1740,276.9
350,Year 1740,276.9
351,Year 1740,276.9
352,Year 1735,276.9
353,Year 1735,276.9
354,Year 1735,276.9
355,Year 1735,276.9
356,Year 1735,276.9
357,Year 1735,276.9
358,Year 1730,277
359,Year 1730,277
360,Year 1730,277
361,Year 1730,277
362,Year 1730,277
363,Year 1730,277
364,Year 1725,277
365,Year 1725,277
366,Year 1725,277
367,Year 1725,277
368,Year 1725,277
369,Year 1725,277
370,Year 1720,277
371,Year 1720,277
372,Year 1720,277
373,Year 1720,277
374,Year 1720,277
375,Year 1720,277
376,Year 1715,277
377,Year 1715,277
378,Year 1715,277
379,Year 1715,277
380,Year 1715,277
381,Year 1715,277
382,Year 1710,276.9
383,Year 1710,276.9
384,Year 1710,276.9
385,Year 1710,276.9
386,Year 1710,276.9
387,Year 1710,276.9
388,Year 1705,276.8
389,Year 1705,276.8
390,Year 1705,276.8
391,Year 1705,276.8
392,Year 1705,276.8
393,Year 1705,276.8
394,Year 1700,276.7
395,Year 1700,276.7
396,Year 1700,276.7
397,Year 1700,276.7
398,Year 1700,276.7
399,Year 1700,276.7
400,Year 1695,276.6
401,Year 1695,276.6
402,Year 1695,276.6
403,Year 1695,276.6
404,Year 1695,276.6
405,Year 1695,276.6
406,Year 1690,276.5
407,Year 1690,276.5
408,Year 1690,276.5
409,Year 1690,276.5
410,Year 1690,276.5
411,Year 1690,276.5
412,Year 1685,276.4
413,Year 1685,276.4
414,Year 1685,276.4
415,Year 1685,276.4
416,Year 1685,276.4
417,Year 1685,276.4
418,Year 1680,276.4
419,Year 1680,276.4
420,Year 1680,276.4
421,Year 1680,276.4
422,Year 1680,276.4
423,Year 1680,276.4
424,Year 1675,276.4
425,Year 1675,276.4
426,Year 1675,276.4
427,Year 1675,276.4
428,Year 1675,276.4
429,Year 1675,276.4
430,Year 1670,276.4
431,Year 1670,276.4
432,Year 1670,276.4
433,Year 1670,276.4
434,Year 1670,276.4
435,Year 1670,276.4
436,Year 1665,276.5
437,Year 1665,276.5
438,Year 1665,276.5
439,Year 1665,276.5
440,Year 1665,276.5
441,Year 1665,276.5
442,Year 1660,276.5
443,Year 1660,276.5
444,Year 1660,276.5
445,Year 1660,276.5
446,Year 1660,276.5
447,Year 1660,276.5
448,Year 1655,276.5
449,Year 1655,276.5
450,Year 1655,276.5
451,Year 1655,276.5
452,Year 1655,276.5
453,Year 1655,276.5
454,Year 1655,276.5
455,Year 1650,276.4
456,Year 1650,276.4
457,Year 1650,276.4
458,Year 1650,276.4
459,Year 1650,276.4
460,Year 1650,276.4
461,Year 1645,276.3
462,Year 1645,276.3
463,Year 1645,276.3
464,Year 1645,276.3
465,Year 1645,276.3
466,Year 1645,276.3
467,Year 1640,276.1
468,Year 1640,276.1
469,Year 1640,276.1
470,Year 1640,276.1
471,Year 1640,276.1
472,Year 1640,276.1
473,Year 1635,275.9
474,Year 1635,275.9
475,Year 1635,275.9
476,Year 1635,275.9
477,Year 1635,275.9
478,Year 1635,275.9
479,Year 1630,275.6
480,Year 1630,275.6
481,Year 1630,275.6
482,Year 1630,275.6
483,Year 1630,275.6
484,Year 1630,275.6
485,Year 1625,275.4
486,Year 1625,275.4
487,Year 1625,275.4
488,Year 1625,275.4
489,Year 1625,275.4
490,Year 1625,275.4
491,Year 1620,275.3
492,Year 1620,275.3
493,Year 1620,275.3
494,Year 1620,275.3
495,Year 1620,275.3
496,Year 1620,275.3
497,Year 1615,275.3
498,Year 1615,275.3
499,Year 1615,275.3
500,Year 1615,275.3
501,Year 1615,275.3
502,Year 1615,275.3
503,Year 1610,275.5
504,Year 1610,275.5
505,Year 1610,275.5
506,Year 1610,275.5
507,Year 1610,275.5
508,Year 1610,275.5
509,Year 1605,275.8
510,Year 1605,275.8
511,Year 1605,275.8
512,Year 1605,275.8
513,Year 1605,275.8
514,Year 1605,275.8
515,Year 1600,276.4
516,Year 1600,276.4
517,Year 1600,276.4
518,Year 1600,276.4
519,Year 1600,276.4
520,Year 1600,276.4
521,Year 1595,277.1
522,Year 1595,277.1
523,Year 1595,277.1
524,Year 1595,277.1
525,Year 1595,277.1
526,Year 1595,277.1
527,Year 1590,278
528,Year 1590,278
529,Year 1590,278
530,Year 1590,278
531,Year 1590,278
532,Year 1590,278
533,Year 1585,278.8
534,Year 1585,278.8
535,Year 1585,278.8
536,Year 1585,278.8
537,Year 1585,278.8
538,Year 1585,278.8
539,Year 1580,279.7
540,Year 1580,279.7
541,Year 1580,279.7
542,Year 1580,279.7
543,Year 1580,279.7
544,Year 1580,279.7
545,Year 1575,280.5
546,Year 1575,280.5
547,Year 1575,280.5
548,Year 1575,280.5
549,Year 1575,280.5
550,Year 1575,280.5
551,Year 1570,281.2
552,Year 1570,281.2
553,Year 1570,281.2
554,Year 1570,281.2
555,Year 1570,281.2
556,Year 1570,281.2
557,Year 1565,281.8
558,Year 1565,281.8
559,Year 1565,281.8
560,Year 1565,281.8
